@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
1729.659145,0.2,0.1,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1786.240892,0.2,0.1,0.133333,0.15,0.2,0.183333,0.166667,0.15,0.141667,0.14375,0.138333,1
1786.240892,1.2,1.385,0.923333,0.6925,0.461667,0.230833,0.115417,0.057708,0.044028,0.064167,0.051333,1
1965.399165,11.22,10.53,7.086667,7.3825,4.921667,2.756667,2.075417,1.037708,0.691806,0.518854,0.415083,1
1965.399165,11.02,6.89,7.216667,7.4825,5.021667,2.756667,2.091667,1.05,0.7,0.525,0.42,1
1965.399165,0.2,0.2,0.2,0.15,0.166667,0.15,0.141667,0.175,0.171806,0.128854,0.106417,1
843.371556,0.8,0.9,1,1,1,0.783333,0.425,0.2375,0.175,0.141667,0.173333,1
1115.485934,48.57,31.71,21.14,15.855,10.57,5.285,2.650833,1.33375,0.889167,0.792187,0.755083,1
1115.485934,32.73,16.365,10.91,8.1825,5.455,2.7275,2.87875,1.439375,1.011667,0.808021,0.751417,1
1230.413284,13.58,23.155,15.436667,11.5775,7.718333,3.859167,3.444583,1.722292,1.200139,0.949479,0.864583,1
213.738821,0,0,0,0,0,0,0.016667,0.082292,0.054861,0.264688,0.464333,1
213.738821,?,?,?,?,?,?,0.008333,0.004167,0.002778,0.150729,0.417583,0
213.738821,21.06,10.53,7.02,5.265,3.51,1.755,2.140417,1.238333,0.825556,0.978229,0.800667,1
213.738821,8.19,4.095,3.273333,2.9,2.461667,0.3569,1.29625,0.891875,0.597361,0.448021,0.417583,0
213.738821,27.76,16.045,10.696667,8.0225,5.348333,2.674167,1.337083,0.759167,0.511667,0.38375,0.307,1
213.738821,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.160339,0.150729,0.129183,0
213.738821,69.97,34.985,23.323333,17.4925,11.661667,5.830833,2.915417,1.457708,1.117083,1.198229,0.9965,1
213.738821,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
213.738821,0,0,0,0,0,0,0.06625,0.082292,0.054861,0.264688,0.488917,1
213.738821,?,?,?,?,?,?,0.008333,0.004167,0.002778,0.150729,0.417583,0
213.738821,3.73,3.34,2.883333,2.4125,1.741667,2.46,1.61625,1.786042,1.190694,0.934167,0.755583,1
213.738821,0.9172,0.6448,0.575067,0.5597,0.4854,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
213.738821,0.6,0.5,0.466667,0.5,0.6,0.8,0.99,1.300833,1.145,1.128333,0.97425,1
213.738821,0.2,0.1,0.066667,0.05,0.4854,0.3569,0.284733,0.891875,0.597361,0.448021,0.417583,0
213.738821,33.21,16.605,11.07,8.3025,5.535,2.7675,1.400417,0.819792,0.787778,0.913333,0.7965,1
213.738821,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.597361,0.448021,0.417583,0
500.168083,51.21,35.18,23.453333,17.59,11.726667,5.863333,2.931667,1.465833,1.073333,1.200208,0.99975,1
500.168083,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
542.789101,6.88,3.44,2.293333,1.72,1.738333,1.375833,0.687917,0.754583,1.04625,0.784687,0.655583,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.3569,0.284733,0.197583,0.597361,0.448021,0.417583,0
542.789101,4.12,2.06,1.373333,1.03,0.686667,0.343333,0.171667,0.168125,0.112083,0.094375,0.0755,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
542.789101,3.34,1.67,1.113333,0.835,0.556667,0.278333,0.23875,0.30875,0.205833,1.058958,0.865167,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.197583,0.160339,0.448021,0.417583,0
542.789101,2.75,1.375,0.916667,0.6875,0.458333,0.229167,0.114583,0.057292,0.040972,0.030729,0.024583,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.033333,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
645.810786,33.21,16.605,11.07,8.3025,5.535,2.7675,1.400417,0.819792,0.787778,0.913333,0.7965,1
645.810786,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.597361,0.448021,0.417583,0
1048.550073,3.14,2.945,2.556667,2.1675,1.545,2.378333,1.640417,1.761667,1.174444,0.921979,0.74575,1
1048.550073,0.9172,0.6448,0.575067,0.5597,0.4854,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1058.770461,10.43,7.08,4.72,3.54,2.36,1.18,0.59,0.295,0.196667,0.200937,0.16075,1
1058.770461,8.19,4.095,3.273333,2.9,0.4854,0.3569,0.284733,0.197583,0.160339,0.150729,0.129183,0
1058.770461,4.12,2.06,1.373333,1.03,0.686667,0.343333,0.171667,0.168125,0.112083,0.094375,0.0755,1
1058.770461,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
1058.770461,0,0,0,0,0,0,0.057917,0.082292,0.054861,0.264688,0.466,1
1058.770461,?,?,?,?,?,?,0.008333,0.004167,0.002778,0.150729,0.417583,0
1058.770461,69.97,34.985,23.323333,17.4925,11.661667,5.830833,2.915417,1.457708,1.114306,1.196146,0.9965,1
1058.770461,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1144.727373,20.14,10.07,6.713333,5.035,3.356667,1.678333,0.839167,0.419583,0.279722,0.209792,0.167833,1
1144.727373,8.19,4.095,3.273333,2.9,2.461667,0.3569,0.284733,0.197583,0.160339,0.150729,0.129183,0
1155.531603,69.19,34.595,23.063333,17.2975,11.531667,5.765833,2.882917,1.441458,1.106111,1.190104,0.989917,1
1155.531603,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1155.531603,69.19,34.595,23.063333,17.2975,11.531667,5.765833,2.882917,1.441458,1.106111,1.190104,0.989917,1
1155.531603,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1155.531603,50.76,25.38,16.92,12.69,8.46,4.23,2.115,1.0575,0.968472,0.998125,0.836417,1
1155.531603,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1155.531603,32.81,16.405,10.936667,8.2025,5.468333,2.734167,1.416667,0.811458,0.782222,0.909167,0.793167,1
1155.531603,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.597361,0.448021,0.417583,0
1229.88543,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.086458,0.057639,0.266771,0.466,1
1229.88543,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.002778,0.150729,0.417583,0
1231.912066,28.16,16.045,11.023333,8.2675,5.511667,2.755833,1.377917,0.688958,0.459306,0.397812,0.31825,1
1231.912066,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.160339,0.150729,0.129183,0
