@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
426.455236,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.368924,0.787083,0.524722,0.393542,0.374333,0
426.455236,26.33,14.05,9.366667,7.025,4.683333,2.358333,1.729167,0.864583,0.991389,0.795104,0.808083,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,1.574167,0.787083,0.524722,0.393542,0.374333,0
426.455236,45.77,24.36,16.24,12.18,8.12,4.06,2.03,1.015,0.676667,0.5075,0.406,1
426.455236,26.96,16.825,11.216667,9.445,6.296667,3.148333,1.574167,0.787083,0.524722,0.393542,0.374333,0
426.455236,26.94,25.44,16.96,12.72,8.48,4.24,2.12,1.06,0.706667,0.53,0.424,1
426.455236,5.179167,16.825,11.216667,9.445,6.296667,3.148333,1.574167,0.787083,0.524722,0.393542,0.374333,0
426.455236,19.6,9.8,6.533333,4.9,3.266667,1.633333,0.825,0.4125,0.52625,0.456458,0.3685,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,0.368924,0.184462,0.524722,0.393542,0.102521,0
426.455236,26.88,13.44,8.96,6.72,4.48,2.24,1.128333,0.564167,0.395417,0.532292,0.429167,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,0.368924,0.184462,0.122975,0.393542,0.374333,0
427.539768,23.5,20.905,13.936667,10.4525,6.968333,3.484167,1.742083,0.871042,0.580694,0.435521,0.348417,1
427.539768,23.05,14.77,9.846667,7.385,4.923333,2.461667,1.585417,0.862708,0.577917,0.433437,0.188651,0
427.539768,22.49,11.54,7.693333,5.77,3.846667,2.2025,3.27625,1.986667,1.324444,1.030312,1.045417,1
